"index";"Company";"TypeName";"inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"price";"ppi"
1;"Apple";"Ultrabook";13.3;"small";1600;2560;0;"Intel";" Core i5";2.3;8;"SSD";128;0;"Intel";" Iris Plus Graphics 640";"macos";1.37;71379;227
2;"Apple";"Ultrabook";13.3;"small";900;1440;0;"Intel";" Core i5";1.8;8;"FlashStorage";128;0;"Intel";" HD Graphics 6000";"macos";1.34;47896;128
3;"HP";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"N/A";1.86;30636;141
4;"Apple";"Ultrabook";15.4;"medium";1800;2880;0;"Intel";" Core i7";2.7;16;"SSD";512;0;"AMD";" Radeon Pro 455";"macos";1.83;135195;221
5;"Apple";"Ultrabook";13.3;"small";1600;2560;0;"Intel";" Core i5";3.1;8;"SSD";256;0;"Intel";" Iris Plus Graphics 650";"macos";1.37;96096;227
6;"Acer";"Notebook";15.6;"medium";768;1366;0;"AMD";" A9-Series 9420";3.0;4;"HDD";500;0;"AMD";" Radeon R5";"window";2.1;21312;100
7;"Apple";"Ultrabook";15.4;"medium";1800;2880;0;"Intel";" Core i7";2.2;16;"FlashStorage";256;0;"Intel";" Iris Pro Graphics";"macos";2.04;114018;221
8;"Apple";"Ultrabook";13.3;"small";900;1440;0;"Intel";" Core i5";1.8;8;"FlashStorage";256;0;"Intel";" HD Graphics 6000";"macos";1.34;61736;128
9;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;"Intel";" Core i7";1.8;16;"SSD";512;0;"Nvidia";" GeForce MX150";"window";1.3;79654;157
10;"Acer";"Ultrabook";14.0;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.6;41026;157
11;"HP";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i5";2.5;4;"HDD";500;0;"Intel";" HD Graphics 620";"N/A";1.86;20987;100
12;"HP";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.0;4;"HDD";500;0;"Intel";" HD Graphics 520";"N/A";1.86;18381;141
13;"Apple";"Ultrabook";15.4;"medium";1800;2880;0;"Intel";" Core i7";2.8;16;"SSD";256;0;"AMD";" Radeon Pro 555";"macos";1.83;130002;221
14;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.0;4;"SSD";256;0;"AMD";" Radeon R5 M430";"window";2.2;26581;141
15;"Apple";"Ultrabook";12.0;"small";1440;2304;0;"Intel";" Core M";1.2;8;"SSD";256;0;"Intel";" HD Graphics 615";"macos";0.92;67261;226
16;"Apple";"Ultrabook";13.3;"small";1600;2560;0;"Intel";" Core i5";2.3;8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"macos";1.37;80908;227
17;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.7;8;"SSD";256;0;"AMD";" Radeon R5 M430";"window";2.2;39694;141
18;"Apple";"Ultrabook";15.4;"medium";1800;2880;0;"Intel";" Core i7";2.9;16;"SSD";512;0;"AMD";" Radeon Pro 560";"macos";1.83;152274;221
19;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.4;8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"N/A";2.2;26587;141
20;"Dell";"Ultrabook";13.3;"small";1080;1920;1;"Intel";" Core i5";1.6;8;"SSD";128;0;"Intel";" UHD Graphics 620";"window";1.22;52161;166
22;"Lenovo";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"window";2.5;53227;141
23;"HP";"Notebook";15.6;"medium";768;1366;0;"AMD";" E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";" Radeon R2";"N/A";1.86;13746;100
24;"Dell";"2 in 1 Convertible";13.3;"small";1080;1920;1;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.62;43636;166
25;"HP";"Ultrabook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.91;35112;141
26;"Dell";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"window";2.3;22305;100
27;"Apple";"Ultrabook";13.3;"small";900;1440;0;"Intel";" Core i5";1.6;8;"FlashStorage";128;0;"Intel";" HD Graphics 6000";"macos";1.35;58555;128
28;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"AMD";" Radeon 530";"window";2.2;42624;141
29;"Dell";"Ultrabook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.9;8;"SSD";256;256;"Intel";" UHD Graphics 620";"window";1.88;69157;141
30;"HP";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i5";1.6;8;"HDD";1024;0;"Nvidia";" GeForce 930MX";"window";2.5;47739;127
31;"Chuwi";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Atom x5-Z8300";1.4;4;"FlashStorage";64;0;"Intel";" HD Graphics";"window";1.89;13053;141
32;"Asus";"Notebook";14.0;"medium";768;1366;0;"AMD";" E-Series E2-6110";1.5;2;"FlashStorage";32;0;"AMD";" Radeon R2";"window";1.65;10603;112
33;"HP";"Notebook";17.3;"large";1080;1920;0;"AMD";" A6-Series 9220";2.5;4;"HDD";500;0;"AMD";" Radeon 530";"window";2.71;23390;127
34;"Dell";"Ultrabook";13.3;"small";1800;3200;1;"Intel";" Core i7";1.8;16;"SSD";512;0;"Intel";" UHD Graphics 620";"window";1.2;99580;276
35;"Apple";"Ultrabook";13.3;"small";900;1440;0;"Intel";" Core i5";1.6;8;"FlashStorage";256;0;"Intel";" HD Graphics 6000";"macos";1.35;53173;128
36;"Lenovo";"Notebook";14.0;"medium";768;1366;0;"Intel";" Celeron Dual";1.1;4;"FlashStorage";64;0;"Intel";" HD Graphics 500";"window";1.44;13267;112
37;"Acer";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i3";2.7;4;"HDD";1024;0;"Intel";" HD Graphics 620";"linux";2.1;19554;100
38;"Dell";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i5";1.6;8;"Hybrid";128;1024;"AMD";" Radeon 530";"window";2.8;52161;127
39;"HP";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i5";2.5;4;"HDD";1024;0;"Intel";" HD Graphics 620";"window";1.86;26037;100
40;"HP";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"Nvidia";" GeForce 930MX ";"window";2.1;46833;141
41;"Asus";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 620";"linux";2.0;20726;141
42;"Dell";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"window";2.65;79867;141
43;"Asus";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i5";2.5;8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"linux";2.3;27865;100
44;"Acer";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";1.6;4;"SSD";256;0;"Intel";" UHD Graphics 620";"window";2.2;36337;141
45;"Dell";"2 in 1 Convertible";17.3;"large";1080;1920;1;"Intel";" Core i5";1.6;12;"HDD";1024;0;"Nvidia";" GeForce 150MX";"window";2.77;53227;127
46;"Apple";"Ultrabook";13.3;"small";1600;2560;0;"Intel";" Core i5";2.0;8;"SSD";256;0;"Intel";" Iris Graphics 540";"macos";1.37;75604;227
48;"Asus";"Gaming";17.3;"large";1080;1920;0;"AMD";" Ryzen 1700";3.0;8;"Hybrid";256;1024;"AMD";" Radeon RX 580";"window";3.2;69211;127
49;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;4;"SSD";256;0;"AMD";" Radeon R5 M430";"window";2.3;34046;141
50;"Asus";"Notebook";17.3;"large";768;1366;0;"Intel";" Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"window";2.8;24828;91
52;"Acer";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce MX150";"window";2.2;44808;141
53;"HP";"Notebook";15.6;"medium";1080;1920;0;"AMD";" A6-Series 9220";2.5;4;"SSD";256;0;"AMD";" Radeon R4 Graphics";"window";1.86;21232;141
54;"HP";"Notebook";13.3;"small";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";512;0;"Intel";" UHD Graphics 620";"window";1.49;58768;166
55;"Acer";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i3";2.4;4;"HDD";1024;0;"Intel";" HD Graphics 620";"window";2.4;20460;100
56;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"AMD";" Radeon 520";"window";2.13;40908;141
57;"HP";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.0;4;"SSD";128;0;"Intel";" HD Graphics 520";"window";1.91;23390;141
58;"Asus";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i5";2.5;4;"SSD";256;0;"Intel";" HD Graphics 620";"window";2.0;31232;100
59;"MSI";"Gaming";17.3;"large";1080;1920;0;"Intel";" Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1070";"window";2.43;130483;127
60;"Asus";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.0;4;"SSD";256;0;"Intel";" HD Graphics 520";"linux";2.0;22111;141
61;"Dell";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i7";1.8;16;"Hybrid";256;2048;"AMD";" Radeon 530";"window";2.8;69211;127
62;"Dell";"Ultrabook";14.0;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.7;46833;157
63;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i3";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"N/A";1.7;31915;157
64;"Asus";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.4;50136;157
65;"HP";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.86;36763;141
66;"Asus";"Ultrabook";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"SSD";512;0;"Nvidia";" GeForce GTX 1050 Ti";"window";1.8;105654;141
67;"HP";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i3";2.0;4;"HDD";500;0;"AMD";" Radeon 520";"window";1.86;23373;100
68;"HP";"Notebook";14.0;"medium";768;1366;0;"Intel";" Celeron Dual";1.6;4;"SSD";32;0;"Intel";" HD Graphics 400";"window";1.44;12201;112
